algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
du_pf_cognitive,10.0,28.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,5.249420166015625,-0.005258905173464279,-0.007936477661132812,0.08333331346511841
pf_fs_soft,10.0,29.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,8.375961303710938,-0.0046076486058446164,-0.007936537265777588,0.0833333358168602
pf_fs_cognitive,10.0,29.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,29.636062622070312,-0.009363910405526865,-0.007936477661132812,0.08333337306976318
du_pf_soft,10.0,29.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,2.797821044921875,-0.003935870489632842,0.0158730149269104,0.0
du_pf_cognitive,10.0,29.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,2.429595947265625,-0.003863893618724634,0.007936537265777588,0.0833333432674408
pf_fs_soft,10.0,30.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,7.90972900390625,-0.006561933388852692,0.0,0.0
pf_fs_cognitive,10.0,30.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,5.518402099609375,-0.004081396808779836,-0.03968256711959839,-0.08333331346511841
du_pf_soft,10.0,30.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,6.4212188720703125,-0.003218983143842724,0.02380955219268799,0.0833333283662796
du_pf_cognitive,10.0,30.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,28.441238403320312,-0.00316782998686016,0.0317460298538208,0.08333331346511841
pf_fs_soft,10.0,31.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,14.083709716796875,-0.00575888554316184,-0.023809492588043213,0.0
pf_fs_cognitive,10.0,31.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-8.38177490234375,-0.0026225750287047767,-0.0476190447807312,0.08333337306976318
du_pf_soft,10.0,31.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,1.08258056640625,-0.0029430701283625904,-0.007936537265777588,0.1666666567325592
du_pf_cognitive,10.0,31.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.817108154296875,-0.0023186587865181574,-0.0158730149269104,-0.08333337306976318
pf_fs_soft,20.0,0.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,89.29568481445312,-0.00884961012169383,-0.03968256711959839,-0.1666666865348816
pf_fs_cognitive,20.0,0.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,10.5673828125,-0.006954576803586465,-0.0634920597076416,0.0
du_pf_soft,20.0,0.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,26.729461669921875,-0.004432924771686331,-0.007936537265777588,0.25
du_pf_cognitive,20.0,0.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,18.021636962890625,-0.006927584019872146,-0.0317460298538208,0.08333331346511841
pf_fs_soft,20.0,1.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,25.440109252929688,-0.005815592674891623,0.007936537265777588,-0.25
pf_fs_cognitive,20.0,1.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,42.458587646484375,-0.006549426063458763,-0.0317460298538208,-0.1666666865348816
du_pf_soft,20.0,1.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,0.5742034912109375,-0.004231543849121833,0.02380955219268799,0.08333331346511841
du_pf_cognitive,20.0,1.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,22.039398193359375,-0.003722812901128636,0.023809492588043213,0.0
pf_fs_soft,20.0,2.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,4.92254638671875,-0.001681865000420224,-0.007936477661132812,0.1666666716337204
pf_fs_cognitive,20.0,2.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,7.9743499755859375,-0.006648920111597567,-0.0158730149269104,-0.08333331346511841
du_pf_soft,20.0,2.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,-0.399383544921875,-0.004785065038175218,-0.007936537265777588,0.1666666641831398
